ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,REVENUE/EXPENSES,BUDGET
41,2/28/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
42,2/28/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"16,000 "
43,2/28/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"6,550 "
44,2/28/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
45,2/28/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
46,2/28/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
47,3/31/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"75,000 "
48,3/31/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"80,000 "
49,3/31/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"4,000 "
50,3/31/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"6,200 "
51,3/31/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"13,900 "
52,3/31/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"11,000 "
53,3/31/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880 
54,3/31/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"1,100 "
55,3/31/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275 
56,3/31/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,700 "
57,3/31/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
58,3/31/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
59,3/31/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
60,3/31/2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,"2,650 "
61,3/31/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,600 
62,3/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,500 "
63,3/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"1,000 "
64,3/31/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
65,3/31/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"17,000 "
66,3/31/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"6,600 "
67,3/31/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
68,3/31/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
69,3/31/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
70,4/30/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"77,500 "
71,4/30/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"85,000 "
72,4/30/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"4,250 "
73,4/30/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"6,500 "
74,4/30/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"14,100 "
75,4/30/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"16,000 "
76,4/30/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"1,280 "
77,4/30/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"1,600 "
78,4/30/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400 
79,4/30/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,800 "
80,4/30/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
81,4/30/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
82,4/30/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
83,4/30/2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,"2,700 "
84,4/30/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,620 
85,4/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,500 "
86,4/30/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"1,000 "
87,4/30/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
88,4/30/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"18,000 "
89,4/30/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"6,650 "
90,4/30/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
91,4/30/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
92,4/30/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
93,5/31/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"80,000 "
94,5/31/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"85,000 "
95,5/31/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"4,250 "
96,5/31/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"6,600 "
97,5/31/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"14,300 "
98,5/31/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"16,000 "
99,5/31/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"1,280 "
100,5/31/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"1,600 "
101,5/31/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400 
102,5/31/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,900 "
103,5/31/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
104,5/31/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
105,5/31/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
106,5/31/2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,"2,750 "
107,5/31/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,640 
108,5/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,500 "
109,5/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"1,000 "
110,5/31/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
111,5/31/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"19,000 "
112,5/31/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"6,700 "
113,5/31/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
114,5/31/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
115,5/31/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
116,6/30/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"82,500 "
117,6/30/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"85,000 "
118,6/30/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"4,250 "
119,6/30/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"6,700 "
120,6/30/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"14,500 "
121,6/30/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"16,000 "
122,6/30/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"1,280 "
123,6/30/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"1,600 "
124,6/30/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400 
125,6/30/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"5,000 "
126,6/30/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
127,6/30/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
128,6/30/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
129,6/30/2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,"2,800 "
130,6/30/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,660 
131,6/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,600 "
132,6/30/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"1,000 "
133,6/30/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
134,6/30/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"20,000 "
135,6/30/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"6,750 "
136,6/30/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
137,6/30/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
138,6/30/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
139,7/31/2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,"55,000 "
140,7/31/2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,"4,400 "
141,7/31/2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,"5,500 "
142,7/31/2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,"1,375 "
143,7/31/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"85,000 "
144,7/31/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"200,000 "
145,7/31/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"50,000 "
146,7/31/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"10,000 "
147,7/31/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,"11,400 "
148,7/31/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"24,700 "
149,7/31/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,"3,700 "
150,7/31/2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,"4,700 "
151,7/31/2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,"15,500 "
152,7/31/2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,"2,600 "
153,7/31/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"21,000 "
154,7/31/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"1,680 "
155,7/31/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"2,100 "
156,7/31/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525 
157,7/31/2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,"28,500 "
158,7/31/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,650 "
159,7/31/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
160,7/31/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
161,7/31/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
162,7/31/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,"1,550 "
163,7/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,600 "
164,7/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"2,600 "
165,7/31/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
166,7/31/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"21,000 "
167,7/31/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"67,000 "
168,7/31/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,"5,360 "
169,7/31/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,"6,700 "
170,7/31/2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,"1,675 "
171,7/31/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
172,7/31/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
173,7/31/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
174,8/31/2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,"56,500 "
175,8/31/2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,"4,520 "
176,8/31/2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,"5,650 "
177,8/31/2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,"1,413 "
178,8/31/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"87,500 "
179,8/31/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"200,000 "
180,8/31/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"50,000 "
181,8/31/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"10,000 "
182,8/31/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,"11,500 "
183,8/31/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"25,100 "
184,8/31/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,"3,700 "
185,8/31/2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,"4,700 "
186,8/31/2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,"15,500 "
187,8/31/2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,"2,650 "
188,8/31/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"21,000 "
189,8/31/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"1,680 "
190,8/31/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"2,100 "
191,8/31/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525 
192,8/31/2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,"28,500 "
193,8/31/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,650 "
194,8/31/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
195,8/31/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
196,8/31/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
197,8/31/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,"1,550 "
198,8/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,600 "
199,8/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"2,600 "
200,8/31/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
201,8/31/2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,"87,500 "
202,8/31/2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,"7,000 "
203,8/31/2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,"8,750 "
204,8/31/2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,"2,188 "
205,8/31/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"22,000 "
206,8/31/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"67,000 "
207,8/31/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,"5,360 "
208,8/31/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,"6,700 "
209,8/31/2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,"1,675 "
210,8/31/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
211,8/31/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
212,8/31/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
213,9/30/2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,"56,500 "
214,9/30/2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,"4,520 "
215,9/30/2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,"5,650 "
216,9/30/2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,"1,413 "
217,9/30/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"90,000 "
218,9/30/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"250,000 "
219,9/30/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"50,000 "
220,9/30/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"12,500 "
221,9/30/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,"13,600 "
222,9/30/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"25,700 "
223,9/30/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,"3,700 "
224,9/30/2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,"4,700 "
225,9/30/2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,"15,500 "
226,9/30/2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,"2,700 "
227,9/30/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"21,000 "
228,9/30/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"1,680 "
229,9/30/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"2,100 "
230,9/30/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,525 
231,9/30/2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,"29,800 "
232,9/30/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,650 "
233,9/30/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
234,9/30/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
235,9/30/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
236,9/30/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,"1,550 "
237,9/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,600 "
238,9/30/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"2,600 "
239,9/30/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
240,9/30/2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,"87,500 "
241,9/30/2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,"7,000 "
242,9/30/2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,"8,750 "
243,9/30/2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,"2,188 "
244,9/30/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"23,000 "
245,9/30/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"67,000 "
246,9/30/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,"5,360 "
247,9/30/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,"6,700 "
248,9/30/2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,"1,675 "
249,9/30/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
250,9/30/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
251,9/30/2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,"1,000 "
252,10/31/2022,60810,60810 Salary & Wages,CS,Customer Support,EXPENSES,"57,500 "
253,10/31/2022,60820,60820 Payroll Taxes,CS,Customer Support,EXPENSES,"4,600 "
254,10/31/2022,60830,60830 Health Insurance,CS,Customer Support,EXPENSES,"5,750 "
255,10/31/2022,60840,60840 Payroll Processing Fees,CS,Customer Support,EXPENSES,"1,438 "
256,10/31/2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,"92,500 "
257,10/31/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,"250,000 "
258,10/31/2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,"55,000 "
259,10/31/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,"12,500 "
260,10/31/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,EXPENSES,"13,700 "
261,10/31/2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,"28,700 "
262,10/31/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,EXPENSES,"3,700 "
263,10/31/2022,60500,60500 Insurance,G&A,General & Administrative,EXPENSES,"4,700 "
264,10/31/2022,60620,60620 Rent & Lease,G&A,General & Administrative,EXPENSES,"15,500 "
265,10/31/2022,60630,60630 Utilities,G&A,General & Administrative,EXPENSES,"2,800 "
266,10/31/2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,"26,000 "
267,10/31/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,"2,080 "
268,10/31/2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,"2,600 "
269,10/31/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,650 
270,10/31/2022,60850,60850 Commissions Expense,G&A,General & Administrative,EXPENSES,"31,500 "
271,10/31/2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,"4,650 "
272,10/31/2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,"8,000 "
273,10/31/2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,"5,200 "
274,10/31/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,"7,800 "
275,10/31/2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,"1,600 "
276,10/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,"1,600 "
277,10/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,"2,600 "
278,10/31/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,"1,000 "
279,10/31/2022,60810,60810 Salary & Wages,R&D,Research & Development,EXPENSES,"87,500 "
280,10/31/2022,60820,60820 Payroll Taxes,R&D,Research & Development,EXPENSES,"7,000 "
281,10/31/2022,60830,60830 Health Insurance,R&D,Research & Development,EXPENSES,"8,750 "
282,10/31/2022,60840,60840 Payroll Processing Fees,R&D,Research & Development,EXPENSES,"2,188 "
283,10/31/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,"24,000 "
284,10/31/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,"68,000 "
285,10/31/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,EXPENSES,"5,440 "
286,10/31/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,EXPENSES,"6,800 "
287,10/31/2022,60840,60840 Payroll Processing Fees,S&M,Sales & Marketing,EXPENSES,"1,700 "
288,10/31/2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,"2,000 "
289,10/31/2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500 
