ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,TRANSACTION_TYPE,NAME,MEMO/DESCRIPTION,REVENUE/EXPENSES,AMOUNT
46,4/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,"8,800 "
47,4/15/2022,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"6,650 "
48,4/15/2022,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"4,650 "
49,4/20/2022,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,"2,700 "
50,4/25/2022,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,800 "
51,4/30/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,620 
52,4/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"1,650 "
53,5/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,May SaaS Subscription,REVENUE,"47,000 "
54,5/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,May SaaS Subscription,REVENUE,"40,000 "
55,5/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"79,000 "
56,5/5/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - May,EXPENSES,"2,200 "
57,5/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"1,580 "
58,5/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"5,400 "
59,5/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,"8,900 "
60,5/15/2022,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"6,700 "
61,5/15/2022,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"4,700 "
62,5/20/2022,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,"2,750 "
63,5/25/2022,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,900 "
64,5/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,640 
65,5/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"1,700 "
66,6/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,June SaaS Subscription,REVENUE,"47,500 "
67,6/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,June SaaS Subscription,REVENUE,"40,500 "
68,6/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"80,000 "
69,6/5/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - June,EXPENSES,"2,250 "
70,6/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"1,600 "
71,6/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"5,500 "
72,6/10/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,"9,000 "
73,6/15/2022,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"6,750 "
74,6/15/2022,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"4,750 "
75,6/20/2022,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,"2,800 "
76,6/25/2022,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"5,000 "
77,6/30/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,660 
78,6/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"1,750 "
79,7/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,July SaaS Subscription,REVENUE,"47,800 "
80,7/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,July SaaS Subscription,REVENUE,"40,200 "
81,7/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,July SaaS Subscription,REVENUE,"22,500 "
82,7/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"62,000 "
83,7/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"78,500 "
84,7/1/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - July,EXPENSES,"28,900 "
85,7/1/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"6,250 "
86,7/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"15,500 "
87,7/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"9,200 "
88,7/1/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,100 "
89,7/1/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,600 "
90,7/1/2022,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,700 "
91,7/1/2022,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"15,500 "
92,7/1/2022,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"2,600 "
93,7/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"2,350 "
94,7/5/2022,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"54,000 "
95,7/5/2022,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,650 "
96,7/10/2022,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"8,800 "
97,7/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,July SaaS Subscription,REVENUE,"18,500 "
98,7/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"45,000 "
99,7/15/2022,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,200 "
100,7/15/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"7,800 "
101,7/15/2022,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"46,500 "
102,7/15/2022,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"87,500 "
103,7/15/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"67,000 "
104,7/15/2022,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"56,500 "
105,7/15/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,720 "
106,7/15/2022,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,000 "
107,7/15/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,360 "
108,7/15/2022,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,520 "
109,7/15/2022,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,300 "
110,7/15/2022,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"17,500 "
111,7/15/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,400 "
112,7/15/2022,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,300 "
113,7/15/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880 
114,7/31/2022,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"28,500 "
115,7/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,550 "
116,7/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"8,800 "
117,7/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,600 "
118,8/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,August SaaS Subscription,REVENUE,"46,900 "
119,8/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,August SaaS Subscription,REVENUE,"39,800 "
120,8/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,August SaaS Subscription,REVENUE,"22,100 "
121,8/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,August SaaS Subscription,REVENUE,"15,000 "
122,8/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"59,500 "
123,8/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"76,000 "
124,8/1/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - August,EXPENSES,"29,200 "
125,8/1/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"6,100 "
126,8/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"15,800 "
127,8/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"9,300 "
128,8/1/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,100 "
129,8/1/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,600 "
130,8/1/2022,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,700 "
131,8/1/2022,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"15,500 "
132,8/1/2022,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"2,650 "
133,8/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"2,400 "
134,8/5/2022,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"53,200 "
135,8/5/2022,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,650 "
136,8/10/2022,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"8,800 "
137,8/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,August SaaS Subscription,REVENUE,"18,500 "
138,8/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"43,500 "
139,8/15/2022,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,200 "
140,8/15/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"7,800 "
141,8/15/2022,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"46,500 "
142,8/15/2022,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"87,500 "
143,8/15/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"67,000 "
144,8/15/2022,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"56,500 "
145,8/15/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,720 "
146,8/15/2022,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,000 "
147,8/15/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,360 "
148,8/15/2022,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,520 "
149,8/15/2022,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,300 "
150,8/15/2022,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"17,500 "
151,8/15/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,400 "
152,8/15/2022,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,300 "
153,8/15/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880 
154,8/31/2022,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"28,500 "
155,8/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,550 "
156,8/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"8,800 "
157,8/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,600 "
158,9/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,September SaaS Subscription,REVENUE,"48,200 "
159,9/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,September SaaS Subscription,REVENUE,"41,000 "
160,9/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,September SaaS Subscription,REVENUE,"22,800 "
161,9/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,September SaaS Subscription,REVENUE,"15,500 "
162,9/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,September SaaS Subscription,REVENUE,"28,000 "
163,9/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"64,500 "
164,9/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"82,000 "
165,9/1/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - September,EXPENSES,"30,100 "
166,9/1/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"6,300 "
167,9/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"16,200 "
168,9/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"9,500 "
169,9/1/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,100 "
170,9/1/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,600 "
171,9/1/2022,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,700 "
172,9/1/2022,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"15,500 "
173,9/1/2022,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"2,700 "
174,9/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"2,550 "
175,9/5/2022,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"57,400 "
176,9/5/2022,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,650 "
177,9/10/2022,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"8,800 "
178,9/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,September SaaS Subscription,REVENUE,"18,500 "
179,9/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"46,500 "
180,9/15/2022,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,200 "
181,9/15/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"7,800 "
182,9/15/2022,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"46,500 "
183,9/15/2022,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"87,500 "
184,9/15/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"67,000 "
185,9/15/2022,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"56,500 "
186,9/15/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,720 "
187,9/15/2022,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,000 "
188,9/15/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,360 "
189,9/15/2022,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,520 "
190,9/15/2022,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,300 "
191,9/15/2022,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"17,500 "
192,9/15/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,400 "
193,9/15/2022,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,300 "
194,9/15/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880 
195,9/30/2022,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"29,800 "
196,9/30/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,550 "
197,9/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"8,800 "
198,9/30/2022,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,600 "
199,10/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,October SaaS Subscription,REVENUE,"49,500 "
